key,fullName,email,passportNumber,birthDate,specialNeeds
passenger-22,Loren Ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-23,Loren Ipsum,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,DBIBF3R,02/07/2012 0:00,Lorem ipsum dolor sit amet
# passportNumber variants
passenger-24,Loren Ipsum,acme@lorem-ipsum.org,ABC123,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-25,Loren Ipsum,acme@lorem-ipsum.org,ABC1234,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-26,Loren Ipsum,acme@lorem-ipsum.org,ABCD123,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-27,Loren Ipsum,acme@lorem-ipsum.org,12345678,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-28,Loren Ipsum,acme@lorem-ipsum.org,ABCDEFGH,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-29,Loren Ipsum,acme@lorem-ipsum.org,A1B2C3D4E,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-30,Loren Ipsum,acme@lorem-ipsum.org,QWERTYUIO,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-31,Loren Ipsum,acme@lorem-ipsum.org,987654321,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-32,Loren Ipsum,acme@lorem-ipsum.org,000000000,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-33,Loren Ipsum,acme@lorem-ipsum.org,999999999,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-34,Loren Ipsum,acme@lorem-ipsum.org,AAAAAAAAA,02/07/2012 0:00,Lorem ipsum dolor sit amet
passenger-35,Loren Ipsum,acme@lorem-ipsum.org,ZZZZZZZZZ,02/07/2012 0:00,Lorem ipsum dolor sit amet
# birthDate variants
passenger-36,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,01/01/2000 0:00,Lorem ipsum dolor sit amet
passenger-37,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,01/01/2000 0:01,Lorem ipsum dolor sit amet
passenger-38,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,31/12/2024 23:59,Lorem ipsum dolor sit amet
passenger-39,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,01/01/2025 0:00,Lorem ipsum dolor sit amet
passenger-40,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,29/02/2004 0:00,Lorem ipsum dolor sit amet
passenger-41,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,28/02/2003 0:00,Lorem ipsum dolor sit amet
# specialNeeds variants
passenger-42,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,null
passenger-43,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,""
passenger-44,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,L
passenger-45,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin"
passenger-46,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing"
passenger-47,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,โลเร็ม อิปซัม
passenger-48,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,لوريم إيبسوم
passenger-49,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,洛伦·伊普森
passenger-50,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,"<marquee>Hacked</marquee>"
passenger-51,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,"<script>alert(‘Hacked!’);</script>"
passenger-52,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,"' or 'A' = 'A"
passenger-53,Loren Ipsum,acme@lorem-ipsum.org,DBIBF3R,02/07/2012 0:00,"None"



